,urls
164,"http://wyborcza.pl/7,155287,22974136,tworca-auta-tesla-zarabia-na-miotaczach-ognia-do-obrony-przed.html"
165,"http://sonar.wyborcza.pl/sonar/7,156422,22974740,ambasada-izraela-protestuje-przeciwko-materialom-tvp-info-my.html"
166,"http://krakow.wyborcza.pl/krakow/7,44425,22974510,miedzynarodowa-rada-oswiecimska-protestuje-w-sprawie-ustawy.html"
167,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,22972618,kinga-preis-przemaglowana-o-wroclawiu-kulisach-pracy-na-planie.html"
168,"http://wyborcza.pl/7,75398,22974378,karczewski-na-spotkaniu-z-dyplomatami-obarczanie-polski-wspolodpowiedzialnoscia.html"
169,"http://wyborcza.pl/7,75398,22974447,czy-prezes-tvp-jacek-kurski-szasta-pieniedzmi-20-mln-zl-na.html"
170,"http://poznan.wyborcza.pl/poznan/7,36001,22973642,karambol-na-a2-policja-wnosi-o-tymczasowy-areszt-dla-lotysza.html"
171,"http://wyborcza.pl/7,75399,22973947,90-migrantow-utonelo-u-wybrzezy-libii.html"
172,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35611,22973460,nick-cave-wraca-do-polski-i-dolacza-do-skladu-open-era.html"
173,"http://kielce.wyborcza.pl/kielce/7,47262,22973734,lekarze-wywalczyli-gigantyczne-podwyzki-beda-zarabiali-prawie.html"
174,"http://wyborcza.pl/7,75399,22973406,rzad-kenii-zamknal-najwieksze-niepokorne-kanaly-tv.html"
175,"http://wyborcza.pl/7,75398,22973255,poslowie-nowoczesnej-ktorzy-zawiesili-swoje-czlonkostwo-wracaja.html"
176,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,22973103,kobiety-zaczely-nagle-rodzic-w-swoich-samochodach-wtedy-do.html"
177,"http://wyborcza.pl/7,75399,22973270,departament-stanu-tillerson-rozmawial-z-polskimi-wladzami-o.html"
178,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,22973157,kosiniak-kamysz-we-wroclawiu-oglasza-psl-tworzy-klub-z-ued.html"
179,"http://wyborcza.pl/7,75398,22973268,do-trybunalu-nie-wpuszczono-prywatnych-mediow-ekipa-tvp-weszla.html"
180,"http://czestochowa.wyborcza.pl/czestochowa/7,48725,22973201,czestochowa-rekordowe-zainteresowanie-miejskimi-doplatami-do.html"
181,"http://krakow.wyborcza.pl/krakow/7,44425,22973087,czterolatek-zmarl-w-szpitalu-trafil-na-sor-z-wysoka-goraczka.html"
182,"http://wyborcza.pl/7,75399,22973137,rosyjski-liberal-skazany-silowicy-z-otoczenia-wladimira-putina.html"
183,"http://wyborcza.pl/7,75399,22972973,katastrofa-smiglowcow-we-francji-piec-osob-nie-zyje.html"
184,"http://wyborcza.pl/7,75399,22972828,usa-moga-zaatakowac-koree-polnocna-po-zakonczeniu-igrzysk.html"
185,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,22971937,pierwszy-konsulat-honorowy-indii-w-polsce-juz-otwarty-na-czele.html"
186,"http://kielce.wyborcza.pl/kielce/7,47262,22972503,tajemnicze-znalezisko-w-jedrzejowie-czekaja-na-ekspertow-z.html"
187,"http://wyborcza.pl/7,75399,22972661,coraz-blizej-powstania-nord-stream-2.html"
188,"http://poznan.wyborcza.pl/poznan/7,36001,22970898,pkp-po-prawie-30-latach-chca-zelektryfikowac-linie-kolejowa.html"
189,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,22971314,autobusy-napedzane-wodorem-przyszloscia-komunikacji-miejskiej.html"
190,"http://wyborcza.pl/7,75399,22972507,uratowano-ponad-900-gornikow-uwiezionych-w-kopalni-zlota-w-rpa.html"
191,"http://bydgoszcz.wyborcza.pl/bydgoszcz/7,48722,22972431,ubekiem-nie-jestem-sportowcy-kontra-ustawa-dezubekizacyjna.html"
192,"http://lublin.wyborcza.pl/lublin/7,48724,22971588,duze-problem-z-praca-dla-cudzoziemcow-zmienily-sie-przepisy.html"
193,"http://katowice.wyborcza.pl/katowice/7,35055,22971680,janusz-majer-himalaista-tomek-wszedl-na-nanga-parbat-dla.html"
