,urls
185,"http://wyborcza.pl/7,75398,24647127,po-slowach-grzegorza-biereckiego-opozycja-zlozyla-zawiadomienie.html"
186,"http://krakow.wyborcza.pl/krakow/7,44425,24647553,proces-o-wpisanie-dwoch-kobiet-jako-rodzicow-dziecka.html"
187,"http://wyborcza.pl/7,113768,24647469,czy-festiwal-w-jarocinie-sie-odbedzie-jesli-tak-na-final-wystapi.html"
188,"http://wyborcza.pl/7,155287,24647192,chevron-stawia-na-rope-z-lupkow-transakcja-za-blisko-50-mld.html"
189,"http://wyborcza.pl/7,75399,24646903,wielka-brytania-jest-wsciekla-na-macrona-gnojek-jeden-mysli.html"
190,"http://wyborcza.pl/7,75398,24647152,piaty-dzien-strajku-nauczycieli-do-porozumienia-daleko.html"
191,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24647040,syn-zmarl-policja-w-mieszkaniu-znalazla-zmumifikowane-zwloki.html"
192,"http://wyborcza.pl/7,154903,24647073,polski-atak-na-k2-odlozony-krzysztof-wielicki-mamy-klopoty.html"
193,"http://plock.wyborcza.pl/plock/7,35681,24646793,ploccy-czlonkowie-oswiatowej-solidarnosci-odchodza-ze-zwiazku.html"
194,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24646365,trzeci-dzien-egzaminu-gimnazjalnego-z-drzeniem-serca-czekamy.html"
195,"http://krakow.wyborcza.pl/krakow/7,44425,24647038,klasyfikacja-maturzystow-w-malopolsce-oceny-wystawia-w-sobote.html"
196,"http://wyborcza.pl/7,75398,24647044,wicha-wplacajcie-na-fundusz-strajkowy-pokazcie-nauczycielom.html"
197,"http://lodz.wyborcza.pl/lodz/7,35136,24646833,krzysztof-kwiatkowski-w-lodzi-zanim-zaczniemy-finansowac-strzelnice.html"
198,"http://warszawa.wyborcza.pl/warszawa/7,54420,24646929,zabojstwo-na-plebanii-piesciarz-i-rugbysta-rzucil-sie-na-przypadkowego.html"
199,"http://kielce.wyborcza.pl/kielce/7,47262,24646806,strajk-nauczycieli-prezydent-wenta-apeluje-do-parlamentarzystow.html"
200,"http://rzeszow.wyborcza.pl/rzeszow/7,34962,24646105,strajk-nauczycieli-czworo-uczniow-musi-powtarzac-egzamin-gimnazjalny.html"
201,"http://wyborcza.pl/7,75399,24646695,28-kwietnia-wybory-w-hiszpanii-wygraja-socjalisci-ale-niekoniecznie.html"
202,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24646549,lana-del-rey-kolejna-wielka-gwiazda-open-er-festival-2019.html"
203,"http://wyborcza.pl/7,75400,24644098,przezyla-99-lat-nie-wiedzac-ze-prawie-wszystkie-jej-narzady.html"
